sub_id,x,y,t,trial_id
052212_2,NA,NA,25941.133,1
052212_2,NA,NA,25949.485,1
052212_2,NA,NA,25957.827,1
052212_2,NA,NA,25966.081,1
052212_2,NA,NA,25974.456,1
052212_2,NA,NA,25982.864,1
052212_2,NA,NA,25991.231,1
052212_2,NA,NA,25999.48,1
052212_2,NA,NA,26008.366,1
052212_2,NA,NA,26016.218,1
052212_2,NA,NA,26024.464,1
052212_2,NA,NA,26032.831,1
052212_2,NA,NA,26041.187,1
052212_2,NA,NA,26049.608,1
052212_2,NA,NA,26057.86,1
052212_2,NA,NA,26066.222,1
052212_2,NA,NA,26074.586,1
052212_2,NA,NA,26082.987,1
052212_2,NA,NA,26091.18,1
052212_2,NA,NA,26099.58,1
052212_2,NA,NA,26107.986,1
052212_2,NA,NA,26116.49,1
052212_2,NA,NA,26124.592,1
052212_2,NA,NA,26132.927,1
052212_2,NA,NA,26141.359,1
052212_2,NA,NA,26307.771,1
052212_2,NA,NA,26380.74,1
052212_2,NA,NA,26388.473,1
052212_2,NA,NA,26396.806,1
052212_2,NA,NA,26405.219,1
052212_2,NA,NA,26413.502,1
052212_2,NA,NA,26421.807,1
052212_2,NA,NA,26430.22,1
052212_2,NA,NA,26438.472,1
052212_2,NA,NA,26446.808,1
052212_2,NA,NA,26455.208,1
052212_2,NA,NA,26463.598,1
052212_2,NA,NA,26471.817,1
052212_2,NA,NA,26480.235,1
052212_2,NA,NA,26488.553,1
052212_2,NA,NA,26496.965,1
052212_2,NA,NA,26505.201,1
052212_2,NA,NA,26513.996,1
052212_2,NA,NA,26521.97,1
052212_2,NA,NA,26530.293,1
052212_2,NA,NA,26538.598,1
052212_2,NA,NA,26547.026,1
052212_2,NA,NA,26555.388,1
052212_2,NA,NA,26563.578,1
052212_2,NA,NA,26571.901,1
052212_2,NA,NA,26580.328,1
052212_2,NA,NA,26588.729,1
052212_2,NA,NA,26596.926,1
052212_2,NA,NA,26605.303,1
052212_2,NA,NA,26613.86,1
052212_2,NA,NA,26622.07,1
052212_2,NA,NA,26630.313,1
052212_2,NA,NA,26638.69,1
052212_2,NA,NA,26647.093,1
052212_2,NA,NA,26655.426,1
052212_2,NA,NA,26663.649,1
052212_2,NA,NA,26672.096,1
052212_2,NA,NA,26680.495,1
052212_2,NA,NA,26688.849,1
052212_2,NA,NA,26697.039,1
052212_2,NA,NA,26705.468,1
052212_2,NA,NA,26713.812,1
052212_2,NA,NA,26880.289,1
052212_2,NA,NA,26929.962,1
052212_2,NA,NA,26980.084,1
052212_2,NA,NA,27029.935,1
052212_2,NA,NA,27080.164,1
052212_2,NA,NA,27152.948,1
052212_2,NA,NA,27161.08,1
052212_2,NA,NA,27169.432,1
052212_2,NA,NA,27177.971,1
052212_2,NA,NA,27186.09,1
052212_2,NA,NA,27194.466,1
052212_2,NA,NA,27202.814,1
052212_2,NA,NA,27211.068,1
052212_2,NA,NA,27219.457,1
052212_2,NA,NA,27227.824,1
052212_2,NA,NA,27236.07,1
052212_2,NA,NA,27244.413,1
052212_2,NA,NA,27252.845,1
052212_2,NA,NA,27261.208,1
052212_2,NA,NA,27269.435,1
052212_2,NA,NA,27277.84,1
052212_2,NA,NA,27286.207,1
052212_2,NA,NA,27294.515,1
052212_2,NA,NA,27302.749,1
052212_2,NA,NA,27311.443,1
052212_2,NA,NA,27319.588,1
052212_2,NA,NA,27327.929,1
